Date,Open,High,Low,Close
2015-07-24,125.32,125.739998,123.900002,124.5
2015-07-27,123.089996,123.610001,122.120003,122.769997
2015-07-28,123.379997,123.910004,122.550003,123.379997
2015-07-29,123.150002,123.5,122.269997,122.989998
2015-07-30,122.32,122.57,121.709999,122.370003
2015-07-31,122.599998,122.639999,120.910004,121.300003
2015-08-03,121.5,122.57,117.519997,118.440002
2015-08-04,117.419998,117.699997,113.25,114.639999
2015-08-05,112.949997,117.440002,112.099998,115.400002
2015-08-06,115.970001,116.5,114.120003,115.129997
2015-08-07,114.580002,116.25,114.5,115.519997
2015-08-10,116.529999,119.989998,116.529999,119.720001
2015-08-11,117.809998,118.18,113.330002,113.489998
2015-08-12,112.529999,115.419998,109.629997,115.239998
2015-08-13,116.040001,116.400002,114.540001,115.150002
2015-08-14,114.32,116.309998,114.010002,115.959999
2015-08-17,116.040001,117.650002,115.5,117.160004
2015-08-18,116.43,117.440002,116.010002,116.5
2015-08-19,116.099998,116.519997,114.68,115.010002
2015-08-20,114.080002,114.349998,111.629997,112.650002
2015-08-21,110.43,111.900002,105.650002,105.760002
2015-08-24,94.870003,108.800003,92.0,103.120003
2015-08-25,111.110001,111.110001,103.5,103.739998
2015-08-26,107.089996,109.889999,105.050003,109.690002
2015-08-27,112.230003,113.239998,110.019997,112.919998
2015-08-28,112.169998,113.309998,111.540001,113.290001
2015-08-31,112.029999,114.529999,112.0,112.760002
2015-09-01,110.150002,111.879997,107.360001,107.720001
2015-09-02,110.230003,112.339996,109.129997,112.339996
2015-09-03,112.489998,112.779999,110.040001,110.370003
2015-09-04,108.970001,110.449997,108.510002,109.269997
2015-09-08,111.75,112.559998,110.32,112.309998
2015-09-09,113.760002,114.019997,109.769997,110.150002
2015-09-10,110.269997,113.279999,109.900002,112.57
2015-09-11,111.790001,114.209999,111.760002,114.209999
2015-09-14,116.580002,116.889999,114.860001,115.309998
2015-09-15,115.93,116.529999,114.419998,116.279999
2015-09-16,116.25,116.540001,115.440002,116.410004
2015-09-17,115.660004,116.489998,113.720001,113.919998
2015-09-18,112.209999,114.300003,111.870003,113.449997
2015-09-21,113.669998,115.370003,113.660004,115.209999
2015-09-22,113.379997,114.18,112.519997,113.400002
2015-09-23,113.629997,114.720001,113.300003,114.32
2015-09-24,113.25,115.5,112.370003,115.0
2015-09-25,116.440002,116.690002,114.019997,114.709999
2015-09-28,113.849998,114.57,112.440002,112.440002
2015-09-29,112.830002,113.510002,107.860001,109.059998
2015-09-30,110.169998,111.540001,108.730003,110.300003
2015-10-01,109.07,109.620003,107.309998,109.580002
2015-10-02,108.010002,111.010002,107.550003,110.379997
2015-10-05,109.879997,111.370003,109.07,110.779999
2015-10-06,110.629997,111.739998,109.769997,111.309998
2015-10-07,111.739998,111.769997,109.410004,110.779999
2015-10-08,110.190002,110.190002,108.209999,109.5
2015-10-09,110.0,112.279999,109.489998,112.120003
2015-10-12,112.730003,112.75,111.440002,111.599998
2015-10-13,110.82,112.449997,110.68,111.790001
2015-10-14,111.290001,111.519997,109.559998,110.209999
2015-10-15,110.93,112.099998,110.489998,111.860001
2015-10-16,111.779999,112.0,110.529999,111.040001
2015-10-19,110.800003,111.75,110.110001,111.730003
2015-10-20,111.339996,114.169998,110.82,113.769997
2015-10-21,114.0,115.580002,113.699997,113.760002
2015-10-22,114.330002,115.5,114.099998,115.5
2015-10-23,116.699997,119.230003,116.330002,119.080002
2015-10-26,118.080002,118.129997,114.919998,115.279999
2015-10-27,115.400002,116.540001,113.989998,114.550003
2015-10-28,116.93,119.300003,116.059998,119.269997
2015-10-29,118.699997,120.690002,118.269997,120.529999
2015-10-30,120.989998,121.220001,119.449997,119.5
2015-11-02,120.800003,121.360001,119.610001,121.18
2015-11-03,120.790001,123.489998,120.699997,122.57
2015-11-04,123.129997,123.82,121.620003,122.0
2015-11-05,121.849998,122.690002,120.18,120.919998
2015-11-06,121.110001,121.809998,120.620003,121.059998
2015-11-09,120.959999,121.809998,120.050003,120.57
2015-11-10,116.900002,118.07,116.059998,116.769997
2015-11-11,116.370003,117.419998,115.209999,116.110001
2015-11-12,116.260002,116.82,115.650002,115.720001
2015-11-13,115.199997,115.57,112.269997,112.339996
2015-11-16,111.379997,114.239998,111.0,114.18
2015-11-17,114.919998,115.050003,113.32,113.690002
2015-11-18,115.760002,117.489998,115.5,117.290001
2015-11-19,117.639999,119.75,116.760002,118.779999
2015-11-20,119.199997,119.919998,118.849998,119.300003
2015-11-23,119.269997,119.730003,117.339996,117.75
2015-11-24,117.330002,119.349998,117.120003,118.879997
2015-11-25,119.209999,119.230003,117.919998,118.029999
2015-11-27,118.290001,118.410004,117.599998,117.809998
2015-11-30,117.989998,119.410004,117.75,118.300003
2015-12-01,118.75,118.809998,116.860001,117.339996
2015-12-02,117.339996,118.110001,116.080002,116.279999
